date,cases,deaths
2020-03-20,4,0
2020-03-21,0,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,0,0
2020-03-25,0,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,0,0
2020-03-29,0,0
2020-03-30,0,0
2020-03-31,1,0
2020-04-01,3,0
2020-04-02,6,0
2020-04-03,1,0
2020-04-04,2,0
2020-04-05,1,0
2020-04-06,3,0
2020-04-07,3,0
2020-04-08,5,0
2020-04-09,5,1
2020-04-10,5,0
2020-04-11,1,0
2020-04-12,4,0
2020-04-13,8,0
2020-04-14,7,0
2020-04-15,1,0
2020-04-16,3,0
2020-04-17,3,0
2020-04-18,4,0
2020-04-19,6,0
2020-04-20,5,0
2020-04-21,6,1
2020-04-22,1,0
2020-04-23,3,0
2020-04-24,15,0
2020-04-25,3,0
2020-04-26,4,0
2020-04-27,5,0
2020-04-28,2,0
2020-04-29,6,2
2020-04-30,7,0
2020-05-01,3,0
2020-05-02,1,0
2020-05-03,4,0
2020-05-04,3,0
2020-05-05,0,1
2020-05-06,0,0
2020-05-07,3,0
2020-05-08,3,0
2020-05-09,2,0
2020-05-10,3,0
2020-05-11,8,0
2020-05-12,0,0
2020-05-13,2,0
2020-05-14,5,0
2020-05-15,6,1