Date,retail_and_recreation,grocery_and_pharmacy,parks,workplaces,residential
2020-03-01,17,8,39,5,-1
2020-03-02,5,2,20,4,-1
2020-03-03,7,2,15,2,0
2020-03-04,10,2,45,1,-1
2020-03-05,9,3,31,2,-1
2020-03-06,4,1,27,2,1
2020-03-07,11,9,76,4,-1
2020-03-08,23,14,119,4,-2
2020-03-09,12,7,81,2,-1
2020-03-10,6,4,64,1,0
2020-03-11,6,3,85,-1,0
2020-03-12,8,18,66,0,0
2020-03-13,4,26,71,-1,1
2020-03-14,0,25,91,-3,2
2020-03-15,-5,13,58,-11,3
2020-03-16,5,30,65,-14,5
2020-03-17,-33,12,55,-22,9
2020-03-18,-33,3,36,-27,11
2020-03-19,-36,9,45,-30,13
2020-03-20,-45,2,40,-34,17
2020-03-21,-58,-1,26,-30,12
2020-03-22,-56,-15,35,-33,10
2020-03-23,-53,-24,-44,-42,19
2020-03-24,-48,-16,-50,-43,17
2020-03-25,-55,-24,-33,-43,20
2020-03-26,-48,-15,20,-44,19
2020-03-27,-49,-17,37,-43,21
2020-03-28,-65,-26,-49,-37,16
2020-03-29,-58,-29,0,-41,17
2020-03-30,-45,-17,4,-42,18
2020-03-31,-50,-16,10,-44,19
2020-04-01,-49,-15,8,-47,20
2020-04-02,-53,-18,9,-47,22
2020-04-03,-53,-21,13,-45,23
2020-04-04,-63,-20,7,-33,15
2020-04-05,-57,-26,35,-39,14
2020-04-06,-47,-23,32,-45,19
2020-04-07,-48,-15,15,-46,19
2020-04-08,-47,-12,8,-47,19
2020-04-09,-51,-16,-14,-48,21
2020-04-10,-54,-14,-21,-57,27
2020-04-11,-54,-3,16,-40,14
2020-04-12,-71,-39,14,-48,17
2020-04-13,-51,-28,-17,-47,21
2020-04-14,-44,-16,-10,-44,19
2020-04-15,-38,-10,-5,-44,19
2020-04-16,-43,-13,-2,-45,21
2020-04-17,-47,-17,-27,-44,23
2020-04-18,-55,-12,-23,-33,14
2020-04-19,-50,-17,36,-36,11
2020-04-20,-42,-19,22,-42,18
2020-04-21,-45,-11,-10,-44,19
2020-04-22,-40,-5,-8,-44,18
2020-04-23,-46,-10,-6,-44,20
2020-04-24,-48,-13,-23,-44,24
2020-04-25,-48,-2,70,-33,11
2020-04-26,-56,-20,-53,-38,15
2020-04-27,-40,-9,-7,-40,18
2020-04-28,-38,-6,-20,-41,12
2020-04-29,-36,-3,-26,-41,17
2020-04-30,-49,-17,-39,-44,21
2020-05-01,-37,-3,49,-41,19
2020-05-02,-39,13,125,-28,8
2020-05-03,-40,-3,65,-31,8
2020-05-04,-28,-2,42,-39,15
2020-05-05,-31,0,12,-40,16
2020-05-06,-39,-5,-25,-40,18
2020-05-07,-31,5,17,-39,15
2020-05-08,-42,-6,22,-40,20
2020-05-09,-41,16,17,-30,11
2020-05-10,-30,9,63,-29,6
2020-05-11,-34,-7,0,-37,15
2020-05-12,-30,2,32,-37,15
2020-05-13,-31,3,51,-37,14
2020-05-14,-30,3,22,-38,12
2020-05-15,-31,2,45,-38,16