Date,Cumulative_ConfirmedCases,Cumulative_Deaths,,
1/30/2020,0,0,,
1/31/2020,1,0,,sources
2/2/2020,2,0,,https://twitter.com/HealthySCC
2/28/2020,3,0,,https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/known-cases-of-coronavirus.aspx
2/29/2020,4,0,,
3/1/2020,7,0,,
3/2/2020,9,0,,
3/3/2020,11,0,,
3/4/2020,14,0,,
3/5/2020,20,0,,
3/6/2020,24,0,,
3/7/2020,32,0,,
3/8/2020,37,0,,
3/9/2020,43,1,,
3/10/2020,45,1,,
3/11/2020,48,1,,
3/12/2020,66,1,,
3/13/2020,79,2,,
3/14/2020,91,2,,
3/15/2020,114,2,,
3/16/2020,138,4,,
3/17/2020,175,6,,